Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
EMPLOYED,25_34,high school,Technology,Urban,,,40700.0,1/1/2023
EMPLOYED,18-24,Diploma, Fintech,rural,moderate,,17500.0,1/2/2023
EMPLOYED,25_34,High School,Retail,Delhi,Low,16.0,77600.0,1/3/2023
UNEMPLOYED,18-24,Masters,Retail,Urban,Low,30.0,100200.0,1/4/2023
,45-54,Diploma, Fintech,Hyderabad,low,9.0,19500.0,1/5/2023
Unemployed,25_34,PhD,Tech ,Bangalore,HIGH,,54500.0,1/6/2023
employed,35 - 44,Master,,Mumbai,moderate,20.0,136500.0,1/7/2023
unemployed,35 - 44,Master,,rural,Low,28.0,25300.0,1/8/2023
employed,35 - 44,Ph.D,Retail,,Medium,0.0,103600.0,1/9/2023
unemployed,55+,Ph.D,Tech ,,,3.0,126500.0,1/10/2023
Unemployed,45-54,Master,,Bangalore,High,,73400.0,1/11/2023
unemployed,45-54,High School,Technology,Delhi,HIGH,,27000.0,1/12/2023
UNEMPLOYED,35 - 44,High School,Retail,Delhi,,,,1/13/2023
Employed,18-24,PhD,Tech ,rural,low,,121700.0,1/14/2023
,45-54,High School,Health,Urban,low,,132100.0,1/15/2023
UNEMPLOYED,18-24,Bachelors,Healthcare,Bangalore,moderate,18.0,28700.0,1/16/2023
Employed,25_34,high school,Retail,urban,low,,109300.0,1/17/2023
EMPLOYED,18-24,Ph.D,Tech ,rural,,6.0,136000.0,1/18/2023
UNEMPLOYED,25-34,, Fintech,rural,Low,,62400.0,1/19/2023
employed,18 to 24,,Retail,Delhi,moderate,0.0,101100.0,1/20/2023
unemployed,35 - 44,High School,,Hyderabad,low,,108000.0,1/21/2023
Unemployed,18 to 24,,Health,Delhi,Medium,5.0,128000.0,1/22/2023
,35 - 44,Bachelors,Health,Hyderabad,High,5.0,125000.0,1/23/2023
EMPLOYED,,Masters,Retail,Delhi,,,,1/24/2023
Unemployed,25_34,Ph.D,Technology,Hyderabad,moderate,24.0,107700.0,1/25/2023
UNEMPLOYED,,Master,Health,Bangalore,Low,18.0,,1/26/2023
EMPLOYED,18-24,,Tech ,rural,Medium,,59000.0,1/27/2023
Unemployed,18 to 24,,Healthcare,Delhi,Medium,12.0,132200.0,1/28/2023
unemployed,35 - 44,Bachelors,Education,suburban,,22.0,80800.0,1/29/2023
employed,18-24,Master,Health,Urban,Low,15.0,13300.0,1/30/2023
unemployed,18 to 24,,Health,,HIGH,,23500.0,1/31/2023
Unemployed,25_34,high school,Technology,Hyderabad,HIGH,,13100.0,2/1/2023
Employed,25_34,High School,Finance,Urban,High,2.0,134500.0,2/2/2023
UNEMPLOYED,45-54,PhD,,Urban,low,8.0,86800.0,2/3/2023
EMPLOYED,18-24,Masters,Finance,,Medium,,31200.0,2/4/2023
EMPLOYED,55+,, Fintech,,Low,,106900.0,2/5/2023
,18 to 24,Ph.D,Retail,Bangalore,High,,93300.0,2/6/2023
employed,18 to 24,High School, Fintech,,low,,73500.0,2/7/2023
UNEMPLOYED,25_34,Diploma,Healthcare,,HIGH,9.0,21500.0,2/8/2023
unemployed,18 to 24,High School,Finance,,Medium,,,2/9/2023
employed,45-54,High School,Health,,Low,3.0,,2/10/2023
employed,25-34,Bachelor's, Fintech,Delhi,Low,25.0,7700.0,2/11/2023
unemployed,45-54,Masters,Tech ,Hyderabad,low,10.0,12900.0,2/12/2023
,25-34,PhD,Retail,Bangalore,moderate,1.0,31800.0,2/13/2023
Employed,25_34,High School,Health,Hyderabad,Medium,11.0,97900.0,2/14/2023
unemployed,18-24,PhD, Fintech,rural,moderate,4.0,14200.0,2/15/2023
Unemployed,25_34,PhD,Retail,suburban,High,17.0,106500.0,2/16/2023
,25_34,Diploma,Education,Delhi,Low,,39500.0,2/17/2023
,55+,Master,Retail,,HIGH,30.0,126600.0,2/18/2023
UNEMPLOYED,18-24,PhD,Retail,Delhi,HIGH,7.0,15700.0,2/19/2023
employed,35 - 44,,Finance,Delhi,High,27.0,115700.0,2/20/2023
Employed,18 to 24,high school,Retail,Mumbai,Low,,18800.0,2/21/2023
employed,45-54,Bachelors,Technology,urban,Low,,127400.0,2/22/2023
employed,,Ph.D,Finance,Mumbai,High,26.0,21600.0,2/23/2023
UNEMPLOYED,45-54,Masters,Healthcare,Delhi,moderate,6.0,42100.0,2/24/2023
EMPLOYED,25_34,Masters,Education,Urban,moderate,28.0,137400.0,2/25/2023
employed,25_34,High School,Health,Bangalore,low,,,2/26/2023
UNEMPLOYED,18-24,high school,Retail,suburban,,,83000.0,2/27/2023
unemployed,18 to 24,Master,Health,Delhi,Low,24.0,126300.0,2/28/2023
EMPLOYED,25-34,PhD,Finance,suburban,,,,3/1/2023
UNEMPLOYED,55+,Diploma,Retail,suburban,moderate,,26300.0,3/2/2023
Unemployed,25-34,Masters,Education,Mumbai,Low,24.0,78900.0,3/3/2023
Unemployed,18 to 24,Diploma, Fintech,,High,,51000.0,3/4/2023
Employed,18-24,PhD,Technology,urban,moderate,,48900.0,3/5/2023
,45-54,Diploma,,urban,moderate,,113200.0,3/6/2023
UNEMPLOYED,18 to 24,Masters,Technology,rural,moderate,18.0,,3/7/2023
Unemployed,18-24,Ph.D,,,moderate,,,3/8/2023
UNEMPLOYED,45-54,Bachelor's,Finance,suburban,moderate,17.0,57200.0,3/9/2023
Employed,45-54,Diploma,Health,urban,,,84000.0,3/10/2023
Employed,25-34,,,rural,low,,63700.0,3/11/2023
unemployed,25-34,Ph.D,Retail,Bangalore,Low,,90500.0,3/12/2023
EMPLOYED,35 - 44,high school,Retail,Bangalore,moderate,15.0,33400.0,3/13/2023
Employed,25-34,Ph.D, Fintech,Bangalore,Low,12.0,,3/14/2023
unemployed,45-54,Diploma, Fintech,rural,HIGH,20.0,130700.0,3/15/2023
UNEMPLOYED,18 to 24,High School,Retail,Delhi,Medium,,90000.0,3/16/2023
unemployed,25_34,High School,,Urban,,27.0,142200.0,3/17/2023
UNEMPLOYED,18 to 24,Masters,Finance,suburban,Low,,125800.0,3/18/2023
EMPLOYED,25_34,Bachelors,Technology,urban,Medium,,,3/19/2023
Unemployed,35 - 44,High School,Education,Mumbai,,,100200.0,3/20/2023
UNEMPLOYED,,Master,Tech ,suburban,low,,140200.0,3/21/2023
Employed,25-34,Bachelor's,Education,Delhi,low,,17900.0,3/22/2023
Employed,25_34,Bachelors,Health,Hyderabad,HIGH,22.0,79100.0,3/23/2023
Unemployed,18-24,Masters,Tech ,rural,Low,,,3/24/2023
employed,18-24,high school,Health,suburban,Medium,4.0,46100.0,3/25/2023
Employed,25_34,Diploma,Finance,Mumbai,,26.0,120100.0,3/26/2023
,55+,Bachelors,Tech ,Bangalore,moderate,,135100.0,3/27/2023
UNEMPLOYED,55+,Bachelors,Retail,Delhi,Low,,56300.0,3/28/2023
Unemployed,25-34,PhD,Retail,suburban,HIGH,,105400.0,3/29/2023
,55+,Bachelors, Fintech,Delhi,,12.0,148700.0,3/30/2023
EMPLOYED,35 - 44,, Fintech,Hyderabad,low,26.0,88400.0,3/31/2023
EMPLOYED,45-54,Diploma,Finance,Bangalore,HIGH,16.0,124600.0,4/1/2023
employed,35 - 44,Bachelor's, Fintech,Hyderabad,Medium,20.0,19000.0,4/2/2023
EMPLOYED,35 - 44,Master,Retail,Bangalore,HIGH,21.0,66200.0,4/3/2023
Employed,,PhD,Education,Mumbai,HIGH,,81600.0,4/4/2023
,25_34,high school,Health,urban,low,,,4/5/2023
UNEMPLOYED,25_34,Ph.D, Fintech,Hyderabad,Low,26.0,,4/6/2023
Employed,25-34,Diploma,Healthcare,Hyderabad,Medium,,,4/7/2023
Employed,25_34,Ph.D,,urban,High,2.0,8900.0,4/8/2023
Unemployed,25-34,Diploma,Retail,Hyderabad,HIGH,,124300.0,4/9/2023
EMPLOYED,45-54,Ph.D,Health,,Low,12.0,141400.0,4/10/2023
employed,18 to 24,PhD,Tech ,Bangalore,,,50600.0,4/11/2023
Employed,45-54,,Technology,Delhi,Medium,25.0,76500.0,4/12/2023
unemployed,25-34,high school,Retail,Mumbai,moderate,,,4/13/2023
