Status,Age_Group,Education,Industry,Location,Ai_Risk,Years_Of_Experience,Monthly_Salary_(Inr),Year,Month,Day
0,0,2,2,4,3,16,17500,2023,1,2
0,2,3,5,1,1,16,77600,2023,1,3
1,0,5,5,6,1,30,100200,2023,1,4
1,2,7,6,0,0,14,54500,2023,1,6
1,4,3,7,1,0,8,27000,2023,1,12
0,0,7,6,4,1,13,121700,2023,1,14
1,0,1,4,0,3,18,28700,2023,1,16
0,2,3,5,6,1,12,109300,2023,1,17
1,2,8,2,4,1,3,62400,2023,1,19
0,1,8,5,1,3,0,101100,2023,1,20
1,1,8,3,1,2,5,128000,2023,1,22
1,2,6,7,2,3,24,107700,2023,1,25
0,0,8,6,4,2,15,59000,2023,1,27
1,1,8,4,1,2,12,132200,2023,1,28
0,0,4,3,6,1,15,13300,2023,1,30
1,2,3,7,2,0,6,13100,2023,2,1
0,2,3,1,6,0,2,134500,2023,2,2
0,2,0,2,1,1,25,7700,2023,2,11
1,4,5,6,2,1,10,12900,2023,2,12
0,2,3,3,2,2,11,97900,2023,2,14
1,0,7,2,4,3,4,14200,2023,2,15
1,2,7,5,5,0,17,106500,2023,2,16
1,0,7,5,1,0,7,15700,2023,2,19
0,3,8,1,1,0,27,115700,2023,2,20
0,1,3,5,3,1,26,18800,2023,2,21
0,4,1,7,6,1,26,127400,2023,2,22
1,4,5,4,1,3,6,42100,2023,2,24
0,2,5,0,6,3,28,137400,2023,2,25
0,2,3,3,0,1,26,110200,2023,2,26
1,1,4,3,1,1,24,126300,2023,2,28
1,5,2,5,5,3,24,26300,2023,3,2
1,2,5,0,3,1,24,78900,2023,3,3
0,0,7,7,6,3,21,48900,2023,3,5
1,1,5,7,4,3,18,94533,2023,3,7
1,4,0,1,5,3,17,57200,2023,3,9
1,2,6,5,0,1,15,90500,2023,3,12
0,3,3,5,0,3,15,33400,2023,3,13
0,2,6,2,0,1,12,82050,2023,3,14
1,4,2,2,4,0,20,130700,2023,3,15
1,1,3,5,1,2,23,90000,2023,3,16
1,1,5,1,5,1,26,125800,2023,3,18
0,2,1,7,6,2,25,113000,2023,3,19
0,2,0,0,1,1,22,17900,2023,3,22
0,2,1,3,2,0,22,79100,2023,3,23
1,0,5,6,4,1,13,62600,2023,3,24
0,0,3,3,5,2,4,46100,2023,3,25
1,5,1,5,1,1,19,56300,2023,3,28
1,2,7,5,5,0,15,105400,2023,3,29
0,3,8,2,2,1,26,88400,2023,3,31
0,4,2,1,0,0,16,124600,2023,4,1
0,3,0,2,2,2,20,19000,2023,4,2
0,3,4,5,0,0,21,66200,2023,4,3
1,2,6,2,2,1,26,45250,2023,4,6
0,2,2,4,2,2,14,27075,2023,4,7
1,2,2,5,2,0,7,124300,2023,4,9
0,4,8,7,1,2,25,76500,2023,4,12
1,2,3,5,3,3,16,60350,2023,4,13
0,4,1,5,6,0,0,137100,2023,4,15
0,0,4,3,6,0,8,105450,2023,4,16
1,2,1,3,6,1,16,73800,2023,4,17
0,2,4,5,6,1,19,57050,2023,4,18
0,1,2,6,1,0,22,40300,2023,4,19
1,3,6,1,1,1,28,44700,2023,4,22
1,1,7,3,6,0,10,20200,2023,4,23
0,2,5,0,5,1,15,7600,2023,4,25
1,4,3,1,1,1,12,109500,2023,4,26
0,2,7,5,6,1,9,26900,2023,4,27
0,3,3,7,4,1,7,21000,2023,4,28
0,0,5,4,5,3,15,22850,2023,5,1
0,4,7,6,2,0,18,10500,2023,5,2
0,2,2,0,6,0,21,125300,2023,5,6
1,2,6,6,6,2,23,11500,2023,5,7
1,3,3,5,2,3,6,23500,2023,5,10
1,1,4,2,6,1,9,125400,2023,5,13
0,4,7,4,6,1,15,94966,2023,5,17
1,3,5,5,3,2,13,65300,2023,5,19
0,3,3,7,6,1,9,76500,2023,5,20
0,2,8,7,2,1,5,141000,2023,5,21
0,0,2,4,1,0,3,8000,2023,5,22
0,2,1,0,4,1,8,100700,2023,5,26
1,1,5,2,6,0,17,122200,2023,5,27
0,1,7,4,6,2,28,56300,2023,5,30
1,0,0,6,0,3,29,89900,2023,5,31
0,0,3,3,1,0,21,81150,2023,6,2
0,2,2,5,2,0,13,97100,2023,6,3
0,1,5,5,5,0,5,102600,2023,6,5
1,5,4,5,6,0,5,125900,2023,6,6
0,5,4,0,4,2,2,78950,2023,6,8
0,3,2,5,2,0,2,106600,2023,6,13
0,1,5,3,3,3,3,44700,2023,6,14
1,0,1,3,2,0,19,131300,2023,6,16
0,2,6,5,6,1,19,75300,2023,6,18
1,0,1,3,6,1,19,88400,2023,6,20
1,5,4,0,3,1,19,110800,2023,6,21
1,5,1,0,2,1,28,115100,2023,6,22
1,3,6,5,6,0,23,16400,2023,6,25
1,4,8,5,6,0,26,21200,2023,6,28
1,0,3,7,6,1,27,12500,2023,6,29
1,4,7,5,5,0,28,70700,2023,6,30
1,0,3,5,5,1,29,96000,2023,7,1
0,0,5,3,5,1,21,123200,2023,7,2
1,3,6,4,6,2,5,54200,2023,7,4
1,5,5,4,5,2,6,24000,2023,7,5
1,5,0,1,3,3,13,114100,2023,7,9
0,2,3,0,3,2,15,30100,2023,7,10
1,1,1,3,2,1,20,60500,2023,7,13
0,0,3,6,1,1,22,58000,2023,7,14
0,0,3,6,3,0,29,77200,2023,7,16
0,4,0,1,6,0,24,96400,2023,7,17
0,2,0,7,5,2,14,103033,2023,7,18
1,1,4,5,1,0,19,109666,2023,7,19
0,5,2,0,6,1,24,116300,2023,7,20
0,0,8,0,3,2,21,66400,2023,7,22
1,3,8,3,6,2,17,125900,2023,7,24
0,2,7,3,1,0,24,121300,2023,7,28
1,2,2,5,6,1,15,75200,2023,7,30
1,4,0,3,4,3,11,74200,2023,7,31
1,5,5,6,5,3,18,127100,2023,8,1
0,2,3,0,4,0,14,68600,2023,8,2
0,3,0,3,1,1,21,76000,2023,8,5
0,5,6,0,2,0,21,31500,2023,8,7
1,2,1,4,4,1,10,126700,2023,8,8
0,0,0,5,2,2,20,22300,2023,8,12
1,4,3,3,6,0,24,40133,2023,8,14
0,2,4,7,2,0,27,73766,2023,8,15
1,1,3,5,1,0,25,70400,2023,8,18
0,2,6,6,2,1,2,105700,2023,8,19
1,4,8,4,6,0,22,15500,2023,8,22
1,1,0,1,1,0,7,17600,2023,8,23
0,4,8,0,3,1,28,7100,2023,8,26
1,2,5,4,4,0,12,106800,2023,9,4
1,1,1,6,6,2,15,79900,2023,9,5
1,2,0,2,2,0,20,113750,2023,9,7
1,2,4,6,2,2,23,102200,2023,9,8
